Region,Quartile,Without SSL (pub),SSLv2.0 (pub),SSLv3.0 (pub),TLSv1.0 (pub),TLSv1.1 (pub),TLSv1.2 (pub),TLSv1.3 (pub),Without SSL (pvt),SSLv2.0 (pvt),SSLv3.0 (pvt),TLSv1.0 (pvt),TLSv1.1 (pvt),TLSv1.2 (pvt),TLSv1.3 (pvt)
Utah,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36.36363636363637,9.090909090909092,54.54545454545454,0.0
Oklahoma,4,0.0,0.0,7.142857142857142,7.142857142857142,7.142857142857142,78.57142857142857,0.0,0.0,0.0,0.0,25.0,0.0,75.0,0.0
Minnesota,4,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,13.793103448275861,0.0,86.20689655172413,0.0
Georgia,4,0.0,0.0,0.0,26.31578947368421,5.263157894736842,68.42105263157895,0.0,2.7777777777777777,0.0,0.0,19.444444444444446,0.0,77.77777777777779,0.0
District of Columbia,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,36.36363636363637,18.181818181818183,45.45454545454545,0.0
New York,4,2.5,0.0,0.0,20.0,10.0,67.5,0.0,0.7407407407407408,0.0,0.7407407407407408,28.14814814814815,1.4814814814814816,68.88888888888889,0.0
Nebraska,4,0.0,0.0,0.0,28.57142857142857,0.0,71.42857142857143,0.0,0.0,0.0,0.0,28.57142857142857,7.142857142857142,64.28571428571429,0.0
New Jersey,4,0.0,0.0,0.0,15.384615384615385,0.0,84.61538461538461,0.0,2.857142857142857,0.0,0.0,48.57142857142857,2.857142857142857,45.714285714285715,0.0
Hawaii,4,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,40.0,0.0,60.0,0.0
New Mexico,4,0.0,0.0,0.0,42.857142857142854,0.0,57.14285714285714,0.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0
Connecticut,4,0.0,0.0,0.0,45.45454545454545,0.0,54.54545454545454,0.0,0.0,0.0,0.0,35.294117647058826,5.88235294117647,58.82352941176471,0.0
Total,4,0.5328596802841918,0.0,0.17761989342806395,15.097690941385435,1.7761989342806392,82.06039076376554,0.3552397868561279,0.5681818181818182,0.0,0.2130681818181818,18.963068181818183,1.7045454545454544,78.48011363636364,0.07102272727272728
