Certificate Authority,Total,Total %
R10,301.00,21.5
R11,248.00,17.71428571428571
WR1,184.00,13.142857142857142
Go Daddy Secure Certificate Authority - G2,93.00,6.642857142857143
InCommon RSA Server CA 2,89.00,6.357142857142857
Others,485.00,34.64285714285714
